Timestamp,Presenter ,Brief Bio,School / Organization,Co-Presenters,Session Title ,Session Description       ,Strand ,Which of the following Early Childhood Core Copentencies will your session support?,Grade level (check ALL that apply),Are you interested in presenting at a round table discussion?  This would involve rotating small groups of 5-8 participants in a small group setting.  You would provide 20 minute mini-sessions in stead of 1 hour sessions.  ,"Equipment Needed---If you need sound for your presentation, please bring your own speakers. Microphones will be provided for only the largest rooms. ",Tables: Tables for participants are not available in session rooms.  Each presenter will have one table at the front. Do you need additional tables for your materials?,"If you need tables, how many? (3 maximum)",Session Description ,Location ,Time,Max Capacity ,Gold Mine Session Time Slots,,
,Terri Haarala,,Frisco ISD,,The Pre-K Math Workshop: Facilitating Learning Through Planned and Purposeful Play,"This session explores developing numeracy, early mathematical concepts, and mathematical language through planned and purposeful play.  Participants will leave with an understanding of the Pre-K Math Workshop components, how they can be implemented, and how they support learning aligned with the Texas Pre-K Guidelines.  ",,,,,,,,"This session explores developing numeracy, early mathematical concepts, and mathematical language through planned and purposeful play.  Participants will leave with an understanding of the Pre-K Math Workshop components, how they can be implemented, and how they support learning aligned with the Texas Pre-K Guidelines.  ",Great Room C,11:30 a.m. ,90,,,
,Terri Haarala,,Frisco ISD,,Let's Write! Supporting the Standards Through Shared Interactive and Independent Writing,"Participants will leave this session with strategies for integrating shared, interactive, and independent writing opportunities into the Pre-K classroom.  The session will also uncover ways to use the developmental stages of writing to monitor student progress, determine next steps in instruction, and set goals with Pre-K students! ",,,,,,,,"Participants will leave this session with strategies for integrating shared, interactive, and independent writing opportunities into the Pre-K classroom.  The session will also uncover ways to use the developmental stages of writing to monitor student progress, determine next steps in instruction, and set goals with Pre-K students! ",Great Room C,12:45 p.m. ,90,,,
,Dr. Laura Jana,,"Jana Ventures, Inc.",,The Toddler Brain,Dr. Jana introduces the concept of QI Skills and lays out a strategic plan for early childhood development and cultivating the 21st-century skills needed to succeed during the foundational first five years of life.,,,,,,,,Dr. Jana introduces the concept of QI Skills and lays out a strategic plan for early childhood development and cultivating the 21st-century skills needed to succeed during the foundational first five years of life.,Great Room B,10:15 a.m. & 11:30 a.m. ,90,,,
7/21/2019 15:08:04,Robin Rettie,,Lighthouse Learning Resources,,Creating A Safe and Trusting Inclusive Learning Environment,"Increasing social-emotional awareness requires creating a safe and trusting environment. This session provides a review of our 8 sensory systems and possible challenges, offers “how to” implement research-supported strategies to increase time on task and redirect behavioral responses. This is a hands-on engaging presentation providing strategies to being implementing immediately. ",Behavior Support,Supporting Skill Development,"PPCD, Pre-K, K, 1st, 2nd",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",No,,"Increasing social-emotional awareness requires creating a safe and trusting environment. This session provides a review of our 8 sensory systems and possible challenges, offers “how to” implement research-supported strategies to increase time on task and redirect behavioral responses. This is a hands-on engaging presentation providing strategies to being implementing immediately. ",Hang Time High ,12:45 p.m. ,100,,,
8/16/2019 17:39:41,Shauna Williams,,Benchmark Education Company,,"Hear, See, Say, Do!  Five Strokes Young Children Can Do","Discover five pre-writing strokes to draw geometric shapes, print letters, and numerals, with associated verbal chants in English, Spanish, and American Sign Language.  Explicitly teach, model, and practice using guidance and constructive feedback.  Learn directed drawings and encourage children to apply foundational skills and practice with increasing proficiency.",Integrated Curriculum,"Learning Environments, Planning Framework, Curriculum and Standards",Pre-K,No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",Yes,Two,"Discover five pre-writing strokes to draw geometric shapes, print letters, and numerals, with associated verbal chants in English, Spanish, and American Sign Language. Explicitly teach, model, and practice using guidance and constructive feedback. Learn directed drawings and encourage children to apply foundational skills and practice with increasing proficiency.",Hang Time College,11:30 p.m. ,100,,,
8/16/2019 17:47:17,Shauna Williams,,Benchmark Education Company,,Get Teachers Hooked on the Reading Habit:  Read-Alouds Do Work,Students can think and discuss far above the level at which they can read. Selecting books that are both complex in ideas and language help build metacognitive skills.   Participants will use interactive Read-Alouds that support the development of language and literacy by planning intentional teaching opportunities for the read-aloud.,Language/Literacy,Supporting Skill Development,"Pre-K, K, 1st, 2nd",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",Yes,Two,Students can think and discuss far above the level at which they can read. Selecting books that are both complex in ideas and language help build metacognitive skills.   Participants will use interactive Read-Alouds that support the development of language and literacy by planning intentional teaching opportunities for the read-aloud.,Hang Time College ,12:45 p.m. ,100,,,
8/22/2019,Mary Jo Huff,,Story Tellin' Time ,,Building Language and Literacy One Story at a Time,"When a story says ""THE END"" it can be the beginning of instant language sharing.  Continue the learning with activities and experiences that promote sharing.  ",,,,,,,,"When a story says “THE END” it can be the beginning of instant language sharing.   Continue the learning with activities and experiences that promote conversation and inquiry with Story Play.  Whether you are an inexperienced teacher, a veteran educator, a librarian, a childcare professional these activities will turn you into a storyteller who can expand children’s favorite stories into meaningful learning experiences.
Light a fire in the imagination of children, using simple, east-to-do activities.  
Storytelling is a powerful tool for adults who work with children, and the fun ideas and activities that Story Play shares will connect with all ages of children.",Gymnatorium,10:15 a.m. ,100,,,
,Mary Jo Huff,,Story Tellin' Time,,"SNAP, CLAP, WIGGLE & GIGGLE to an Early Childhood Beat","Get ready for some hands-on, research-based strategies that make learning exciting for all children.  They are naturally curious, and this is an opportunity for you to spark their imaginations and feed that curiosity.  Explore ideas and activities that are easy to find and use.  We will sing, rhyme, move to the music, share stories and play with puppets.  Learn language and literacy skills that work.  Mary Jo’s experience and passion create a special touch with Early Childhood Education.  Go back with everything you need to make learning fun for you and the children.",,,,,,,,"Get ready for some hands-on, research-based strategies that make learning exciting for all children.  They are naturally curious, and this is an opportunity for you to spark their imaginations and feed that curiosity.  Explore ideas and activities that are easy to find and use.  We will sing, rhyme, move to the music, share stories and play with puppets.  Learn language and literacy skills that work.  Mary Jo’s experience and passion create a special touch with Early Childhood Education.  Go back with everything you need to make learning fun for you and the children.",Gymnatorium,2:00 p.m. ,100,,,
,Dan St. Romain,,Dan St. Romain Educational Consulting,,I Can Make Good Choices,"“You’re not my friend!”  “That’s not fair!”  “I don’t want to do that!”  Each year it seems like we are dealing with more behavior problems in the primary classroom.  Come to this fun session and get some quick and easy ideas for teaching behavior and social skills using visuals, literature and simple chants and activities.",,,,,,,,"“You’re not my friend!”  “That’s not fair!”  “I don’t want to do that!”  Each year it seems like we are dealing with more behavior problems in the primary classroom.  Come to this fun session and get some quick and easy ideas for teaching behavior and social skills using visuals, literature and simple chants and activities.",Hang Time High,10:15 a.m.,100,,,
,Dan St. Romain,,Dan St. Romain Educational Consulting,,Teach Skills And Break Habits:  Growth-Mindsets For Better Behavior in the Classroom,"How do we create long term change for students with chronic behavior problems? Join Dan to learn about the downfall of behavior tracking systems and why time out, clip systems, behavior folders, and office referrals don’t work.  Participants will also learn alternative ways to support behavior based on a model of targeting and teaching important skills and breaking poor habits.",,,,,,,,"How do we create long term change for students with chronic behavior problems? Join Dan to learn about the downfall of behavior tracking systems and why time out, clip systems, behavior folders, and office referrals don’t work.  Participants will also learn alternative ways to support behavior based on a model of targeting and teaching important skills and breaking poor habits.",Hang Time High,11:30 a.m. ,100,,,
,Dan St. Romain,,Dan St. Romain Educational Consulting,,Positive Behavior Principles,"Toto, we’re not in Kansas anymore! It seems like more and more, discipline issues are the main topic of conversation in the school setting. In this whirlwind interactive session, participants will learn nine principles for positively shaping the behavior of children in the school setting.",,,,,,,,"Toto, we’re not in Kansas anymore! It seems like more and more, discipline issues are the main topic of conversation in the school setting. In this whirlwind interactive session, participants will learn nine principles for positively shaping the behavior of children in the school setting.",Hang Time High,2:00 p.m. ,100,,,
8/19/2019 19:53:26,Hugo Basurto,,St. Mark’s Episcopal School,,The Power of Play in Literacy ,"In this interactive session, discover how to design an environment that produces desired literacy outcomes through child guided play. Learn how to identify key objectives and effectively document them in a natural, developmentally appropriate way.",Language/Literacy,"Learning Environments, Planning Framework, Curriculum and Standards","Pre-K, K",No,"LCD Projector and Screen -  i will bring my own laptop and all necessary power cords, connectors, adapters and cables.",Yes,Three,"In this interactive session, discover how to design an environment that produces desired literacy outcomes through child guided play. Learn how to identify key objectives and effectively document them in a natural, developmentally appropriate way.",Hang Time Mid High,12:45 p.m.& 2:00 p.m. ,150,,,
8/22/2019,Stephen Fite,"Stephen is an award-winning musician/writer for children whose albums have received eighteen nationally recognized honors.  Suitable for the classroom, car or living room, his upbeat brand of children’s music has been delighting students, teachers and parents around the nation for more than three decades.  

He realized his love for music at a very young age while listening to Beatles LP’s at his Aunt’s house shortly after the British Band Invasion of the 60’s.
As a result, he shares that same passion for song with teachers and children through his writing, recording and performance.

Since the mid 80s, Stephen has performed concerts for over 850,000 children, as well as, keynotes and workshops for educators in Alabama, Arkansas, Florida, Georgia, Illinois, Iowa, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Nebraska, New Mexico, Oklahoma, South Carolina, Tennessee, Texas, Utah and Virginia.  

Stephen’s Concerts
Stephen’s shows have been described as an “interactive celebration of music and learning.”  Geared for ages 3 to 7 years, Stephen combines a solid hour of music and movement with generous helpings of rhythm, repetition and rhyme to create a festive buffet of entertainment and fun.  For children, the concert experience is exciting and motivating, as they become active participants from the opening song.  For teachers and parents, it is both relaxing and inspirational as they sit back (if they can stay in their seat) and enjoy the children’s individual performances. ",Melody House,,The Magic of Music & Movement,"This participatory workshop will give teachers a new perspective on using music with children. They will see the connection between music and movement and the brain, as well as how it can aid in teaching a multitude of skills children will carry in to the future.",,,,,,,,"This participatory workshop will give teachers a new perspective on using music with children.  They will see the connection between music and movement and the brain, as well as how it can aid in teaching a multitude of skills children will carry into the future.",Hang Time Mid High,10:15 & 11:30,150,,,
,Bilingual Keynote Speaker,,"Dr. Gilberto Soto, Texas A&M International University",,Music and Movement to Enhance Learning in the Multicultural Early Childhood Classroom ,,,,,,,,,,Great Room A,10:15 a.m. - 12:15 p.m.,200,,,
,Dr. Vicki Gibson,,Gibson Hasbrouck & Associates,,Simple Tools for Understanding Revised Texas Pre-Kindergarten Guidelines,"The revised Texas Prekindergarten Guidelines and recently released TEA PreK Breakouts include end-of-year (EOY) learning outcomes that affect changes in classroom practices. Many EOY outcomes focus on developing foundational knowledge and skills, but mastery may not be required in a grade level, therefore no assessment for mastery would be aligned with state expectations. Knowing the difference in revised EOY outcomes is essential for aligning teaching, practice, and assessments with state guidelines.  Come and learn how to use Texas Big Sheets to enhance understandings and support discussions about changes in Texas PreK Guidelines. Big Sheets are also available for TEKS, grade K-12.",,,,,,,,"The revised Texas Prekindergarten Guidelines and recently released TEA PreK Breakouts include end-of-year (EOY) learning outcomes that affect changes in classroom practices. Many EOY outcomes focus on developing foundational knowledge and skills, but mastery may not be required in a grade level, therefore no assessment for mastery would be aligned with state expectations. Knowing the difference in revised EOY outcomes is essential for aligning teaching, practice, and assessments with state guidelines.  Come and learn how to use Texas Big Sheets to enhance understandings and support discussions about changes in Texas PreK Guidelines. Big Sheets are also available for TEKS, grade K-12.",Great Room A,12:45 p.m.,320,,,
,Dr. Vicki Gibson,,Gibson Hasbrouck & Associates,,Classroom and Behavioral Management for Preschools ,"This presentation provides free and easy-to-implement tools that help teachers and administrators establish routines and procedures for classroom and behavioral management. Routines create predictable order and ensure consistency in classroom communities so more time is focused on teaching and learning successfully. Come and learn ways to implement simple routines and procedures that may be used in PreK and elementary classrooms and increase your students’ social-emotional skills self-regulation and decision-making, and respectful communication. The management tools help teachers plan daily time periods for whole- and small group adult-led learning activities, and multiple opportunities for children to extend their learning and choose centers for child-directed, productive play. ",,,,,,,,"This presentation provides free and easy-to-implement tools that help teachers and administrators establish routines and procedures for classroom and behavioral management. Routines create predictable order and ensure consistency in classroom communities so more time is focused on teaching and learning successfully. Come and learn ways to implement simple routines and procedures that may be used in PreK and elementary classrooms and increase your students’ social-emotional skills self-regulation and decision-making, and respectful communication. The management tools help teachers plan daily time periods for whole- and small group adult-led learning activities, and multiple opportunities for children to extend their learning and choose centers for child-directed, productive play. ",Great Room A,2:00 p.m. ,320,,,
,Various,,Various,,Gold Mine Sessions - Morning,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",,,,,,,,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",The Connection Room,10:15 a.m.,36,,,
,Various,,Various,,Gold Mine Sessions - Afternoon,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",,,,,,,,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",The Connection Room,12:45 p.m.,36,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
